"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         318,      -9.511459123,      -7.155825825,      -7.872883847,        -3.4879014
          0,           0,         319,      -9.510705323,      -7.171964993,      -7.863173667,      -3.487133875
          0,           0,         320,      -9.505065019,      -7.188295183,      -7.846464055,      -3.481481568
          0,           0,         321,      -9.496123788,       -7.20475574,      -7.825960924,       -3.47253104
          0,           0,         322,      -9.485223383,      -7.221157353,      -7.804227846,       -3.46162386
          0,           0,         323,      -9.473625832,      -7.237400375,      -7.783021597,      -3.450021958
          0,           0,         324,      -9.462236956,      -7.253322615,      -7.763428873,      -3.438630629
          0,           0,         325,      -9.451740792,      -7.268801133,      -7.746061861,      -3.428133603
          0,           0,         326,      -9.442573433,      -7.283678976,      -7.731229637,      -3.418966546
          0,           0,         327,      -9.435050848,      -7.297857119,      -7.719059196,      -3.411445134
